REF_ID,author,year,journal,pages,DOI,reference
Garcia_1999_pedo_p267-275,Garcia,1999,pedo,p267-275,na,"Garcia, M. G., F. Mariño, and S. Mato. 1999. Effect of the diet on growth and reproduction of Eisenia andrei (Oligochaeta, Lumbricidae) reared in individual cultures. Pedobiologia 43:267-275."
Garcia_2002_ase_p43-56,Garcia,2002,ase,p43-56,10.1016/s0929-1393(02)00009-4,"Garcia, J. A. and C. Fragoso. 2002. Growth, reproduction and activity of earthworms in degraded tropical open mined soils: laboratory essays. Applied Soil Ecology 20:43-56."
Garcia_2003_pedo_p754-763,Garcia,2003,pedo,p754-763,10.1016/s0031-4056(04)70264-4,"García, J. A. and C. Fragoso. 2003. Influence of different food substrates on growth and reproduction of two tropical earthworm species (Pontoscolex corethrurus and Amynthas corticis): The 7th international symposium on earthworm ecology · Cardiff · Wales · 2002. Pedobiologia 47:754-763."
Garcia.Perez_2016_ase_p31-41,Garcia.Perez,2016,ase,p31-41,10.1016/j.apsoil.2016.03.007,"García-Pérez, J. A., E. Alarcón, Y. Hernández, and C. Hernández. 2016. Impact of litter contaminated with glyphosate-based herbicide on the performance of Pontoscolex corethrurus, soil phosphatase activities and soil pH. Applied Soil Ecology 104:31-41."
Garg_2005_aeer_p51-59,Garg,2005,aeer,p51-59,10.15666/aeer/0302_051059,"Garg, V. K., S. Chand, A. Chhillar, and A. Yadav. 2005. Growth and reproduction of Eisenia foetida in various animal wastes during vermicomposting. Applied Ecology and Environmental Research 3:51-59."
Garg_2008_envir_p483-488,Garg,2008,envir,p483-488,10.1007/s10669-008-9173-5,"Garg, V. K., P. Kaushik, and Y. K. Yadav. 2008. Effect of stocking density and food quality on the growth and fecundity of an epigeic earthworm (Eisenia fetida) during vermicomposting. Environmentalist 28:483-488."
Gerard_1960_PhD_p283,Gerard,1960,PhD,p283,na,"Gerard, B. M. 1960. The biology of certain British earthworms in relation to environmental conditions. University of London, London."
Gilot_1994_ejsb_p125-131,Gilot,1994,ejsb,p125-131,na,"Gilot-Villenave, C. 1994. Determination of the origin of the different growing abilities of two populations of Millsonia anomala (Omodeo and Vaillaud), a tropical geophageous earthworm. European Journal of Soil Biology 39:125-131."
Grumiaux_2007_ejsb_ps256-s260,Grumiaux,2007,ejsb,ps256-s260,10.1016/j.ejsobi.2007.08.038,"Grumiaux, F., S. Demuynck, D. Schikorski, S. Lemière, F. Vandenbulcke, and A. Leprêtre. 2007. Effect of fluidized bed combustion ashes used in metal polluted soil remediation on life history traits of the oligochaeta Eisenia andrei. European Journal of Soil Biology 43:S256-S260."
Grumiaux_2010_chem_p156-161,Grumiaux,2010,chem,p156-161,10.1016/j.chemosphere.2010.01.018,"Grumiaux, F., S. Demuynck, D. Schikorski, S. Lemière, and A. Leprêtre. 2010. Assessing the effects of FBC ash treatments of metal-contaminated soils using life history traits and metal bioaccumulation analysis of the earthworm Eisenia andrei. Chemosphere 79:156-161."
